caucus,congress_numbers/0,congress_numbers/1,congress_numbers/2,current,description,district,enddate,extra/address,extra/contact_form,extra/fax,extra/office,extra/rss_url,id,leadership_title,party,person/bioguideid,person/birthday,person/cspanid,person/firstname,person/gender,person/gender_label,person/id,person/lastname,person/link,person/middlename,person/name,person/namemod,person/nickname,person/osid,person/pvsid,person/sortname,person/twitterid,person/youtubeid,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra/how
,112,113,114,true,Junior Senator from Missouri,,2017-01-03,260 Russell Senate Office Building Washington DC 20510,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,202-224-8149,260 Russell Senate Office Building,http://www.blunt.senate.gov/public/?a=rss.feed,268,,Republican,B000575,1950-01-10,45465,Roy,male,Male,400034,Blunt,https://www.govtrack.us/congress/members/roy_blunt/400034,,Sen. Roy Blunt [R-MO],,,N00005195,418,"Blunt, Roy (Sen.) [R-MO]",RoyBlunt,SenatorBlunt,202-224-5721,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,MO,Sen.,Senator,http://www.blunt.senate.gov,
,112,113,114,true,Senior Senator from Arkansas,,2017-01-03,141 Hart Senate Office Building Washington DC 20510,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,202-228-1371,141 Hart Senate Office Building,http://www.boozman.senate.gov/public/index.cfm/rss/feed,317,,Republican,B001236,1950-12-10,92069,John,male,Male,400040,Boozman,https://www.govtrack.us/congress/members/john_boozman/400040,,Sen. John Boozman [R-AR],,,N00013873,27958,"Boozman, John (Sen.) [R-AR]",JohnBoozman,BoozmanPressOffice,202-224-4843,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,AR,Sen.,Senator,http://www.boozman.senate.gov,
,112,113,114,true,Senior Senator from North Carolina,,2017-01-03,217 Russell Senate Office Building Washington DC 20510,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,202-228-2981,217 Russell Senate Office Building,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,409,,Republican,B001135,1955-11-30,31054,Richard,male,Male,400054,Burr,https://www.govtrack.us/congress/members/richard_burr/400054,M.,Sen. Richard Burr [R-NC],,,N00002221,21787,"Burr, Richard (Sen.) [R-NC]",SenatorBurr,SenatorRichardBurr,202-224-3154,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,NC,Sen.,Senator,http://www.burr.senate.gov,
,112,113,114,true,Senior Senator from Georgia,,2017-01-03,131 Russell Senate Office Building Washington DC 20510,http://www.isakson.senate.gov/public/index.cfm/email-me,202-228-0724,131 Russell Senate Office Building,http://www.isakson.senate.gov/public/?a=RSS.Feed,1587,,Republican,I000055,1944-12-28,59135,John,male,Male,400194,Isakson,https://www.govtrack.us/congress/members/john_isakson/400194,H.,Sen. John âJohnnyâ Isakson [R-GA],,Johnny,N00002593,1721,"Isakson, John âJohnnyâ (Sen.) [R-GA]",SenatorIsakson,SenatorIsakson,202-224-3643,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,GA,Sen.,Senator,http://www.isakson.senate.gov,
,112,113,114,true,Junior Senator from Illinois,,2017-01-03,524 Hart Senate Office Building Washington DC 20510,http://www.kirk.senate.gov/?p=comment_on_legislation,202-228-4611,524 Hart Senate Office Building,http://kirk.senate.gov/rss/?p=hot_topic,1801,,Republican,K000360,1959-09-15,85221,Mark,male,Male,400222,Kirk,https://www.govtrack.us/congress/members/mark_kirk/400222,Steven,Sen. Mark Kirk [R-IL],,,N00012539,33502,"Kirk, Mark (Sen.) [R-IL]",SenatorKirk,SenatorKirk,202-224-2854,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,IL,Sen.,Senator,http://www.kirk.senate.gov,
,112,113,114,true,Junior Senator from Kansas,,2017-01-03,521 Dirksen Senate Office Building Washington DC 20510,http://www.moran.senate.gov/public/index.cfm/e-mail-jerry,202-228-6966,521 Dirksen Senate Office Building,http://www.moran.senate.gov/public/index.cfm/rss/feed/,2343,,Republican,M000934,1954-05-29,45469,Jerry,male,Male,400284,Moran,https://www.govtrack.us/congress/members/jerry_moran/400284,,Sen. Jerry Moran [R-KS],,,N00005282,542,"Moran, Jerry (Sen.) [R-KS]",JerryMoran,senatorjerrymoran,202-224-6521,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,KS,Sen.,Senator,http://www.moran.senate.gov,
,112,113,114,true,Junior Senator from Ohio,,2017-01-03,448 Russell Senate Office Building Washington DC 20510,https://www.portman.senate.gov/public/index.cfm/contact-form,,448 Russell Senate Office Building,http://www.portman.senate.gov/public/index.cfm/rss/feed,2725,,Republican,P000449,1955-12-19,31819,Robert,male,Male,400325,Portman,https://www.govtrack.us/congress/members/robert_portman/400325,J.,Sen. Robert âRobâ Portman [R-OH],,Rob,N00003682,27008,"Portman, Robert âRobâ (Sen.) [R-OH]",SenRobPortman,SenRobPortman,202-224-3353,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,OH,Sen.,Senator,http://www.portman.senate.gov,
,112,113,114,true,Junior Senator from Pennsylvania,,2017-01-03,248 Russell Senate Office Building Washington DC 20510,http://www.toomey.senate.gov/?p=contact,202-228-0284,248 Russell Senate Office Building,http://toomey.senate.gov/rss/?p=hot_topic,3478,,Republican,T000461,1961-11-17,7958,Patrick,male,Male,400408,Toomey,https://www.govtrack.us/congress/members/patrick_toomey/400408,J.,Sen. Patrick âPatâ Toomey [R-PA],,Pat,N00001489,24096,"Toomey, Patrick âPatâ (Sen.) [R-PA]",SenToomey,sentoomey,202-224-4254,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,PA,Sen.,Senator,http://www.toomey.senate.gov,
,112,113,114,true,Senior Senator from Louisiana,,2017-01-03,516 Hart Senate Office Building Washington DC 20510,http://www.vitter.senate.gov/contact/email-senator-vitter,202-228-5061,516 Hart Senate Office Building,http://www.vitter.senate.gov/rss/feeds/?type=all,3561,,Republican,V000127,1961-05-03,60672,David,male,Male,400418,Vitter,https://www.govtrack.us/congress/members/david_vitter/400418,,Sen. David Vitter [R-LA],,,N00009659,4615,"Vitter, David (Sen.) [R-LA]",,SenatorVitter,202-224-4623,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,LA,Sen.,Senator,http://www.vitter.senate.gov,
,112,113,114,true,Junior Senator from California,,2017-01-03,112 Hart Senate Office Building Washington DC 20510,https://www.boxer.senate.gov/contact/shareyourviews.html,202-224-0454,112 Hart Senate Office Building,,3853,,Democrat,B000711,1940-11-11,2470,Barbara,female,Female,300011,Boxer,https://www.govtrack.us/congress/members/barbara_boxer/300011,,Sen. Barbara Boxer [D-CA],,,N00006692,53274,"Boxer, Barbara (Sen.) [D-CA]",SenatorBoxer,SenatorBoxer,202-224-3553,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,CA,Sen.,Senator,http://www.boxer.senate.gov,
,112,113,114,true,Senior Senator from Idaho,,2017-01-03,239 Dirksen Senate Office Building Washington DC 20510,http://www.crapo.senate.gov/contact/email.cfm,202-228-1375,239 Dirksen Senate Office Building,,3953,,Republican,C000880,1951-05-20,26440,Michael,male,Male,300030,Crapo,https://www.govtrack.us/congress/members/michael_crapo/300030,D.,Sen. Michael Crapo [R-ID],,,N00006267,26830,"Crapo, Michael (Sen.) [R-ID]",MikeCrapo,senatorcrapo,202-224-6142,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,ID,Sen.,Senator,http://www.crapo.senate.gov,
,112,113,114,true,Senior Senator from Iowa,,2017-01-03,135 Hart Senate Office Building Washington DC 20510,http://www.grassley.senate.gov/constituents/questions-and-comments,202-224-6020,135 Hart Senate Office Building,http://grassley.senate.gov/customcf/rss_feed.cfm,4038,,Republican,G000386,1933-09-17,1167,Charles,male,Male,300048,Grassley,https://www.govtrack.us/congress/members/charles_grassley/300048,E.,Sen. Charles âChuckâ Grassley [R-IA],,Chuck,N00001758,53293,"Grassley, Charles âChuckâ (Sen.) [R-IA]",ChuckGrassley,senchuckgrassley,202-224-3744,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,IA,Sen.,Senator,http://www.grassley.senate.gov,
,112,113,114,true,Senior Senator from Vermont,,2017-01-03,437 Russell Senate Office Building Washington DC 20510,https://www.leahy.senate.gov/contact/,202-224-3479,437 Russell Senate Office Building,http://www.leahy.senate.gov/rss/feeds/press/,4151,,Democrat,L000174,1940-03-31,1552,Patrick,male,Male,300065,Leahy,https://www.govtrack.us/congress/members/patrick_leahy/300065,J.,Sen. Patrick Leahy [D-VT],,,N00009918,53353,"Leahy, Patrick (Sen.) [D-VT]",SenatorLeahy,SenatorPatrickLeahy,202-224-4242,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,VT,Sen.,Senator,http://www.leahy.senate.gov,
,112,113,114,true,Senior Senator from Arizona,,2017-01-03,218 Russell Senate Office Building Washington DC 20510,http://www.mccain.senate.gov/public/index.cfm/contact-form,202-228-2862,218 Russell Senate Office Building,,4190,,Republican,M000303,1936-08-29,7476,John,male,Male,300071,McCain,https://www.govtrack.us/congress/members/john_mccain/300071,S.,Sen. John McCain [R-AZ],,,N00006424,53270,"McCain, John (Sen.) [R-AZ]",SenJohnMcCain,SenatorJohnMcCain,202-224-2235,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,AZ,Sen.,Senator,http://www.mccain.senate.gov,
,112,113,114,true,Senior Senator from Maryland,,2017-01-03,503 Hart Senate Office Building Washington DC 20510,http://www.mikulski.senate.gov/contact/shareyouropinion.cfm,202-224-8858,503 Hart Senate Office Building,http://www.mikulski.senate.gov/rssfeed.cfm,4205,,Democrat,M000702,1936-07-20,1396,Barbara,female,Female,300073,Mikulski,https://www.govtrack.us/congress/members/barbara_mikulski/300073,A.,Sen. Barbara Mikulski [D-MD],,,N00001945,53304,"Mikulski, Barbara (Sen.) [D-MD]",SenatorBarb,senatormikulski,202-224-4654,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,MD,Sen.,Senator,http://www.mikulski.senate.gov,
,112,113,114,true,Senior Senator from Alaska,,2017-01-03,709 Hart Senate Office Building Washington DC 20510,http://www.murkowski.senate.gov/public/index.cfm?p=EMailLisa,202-224-5301,709 Hart Senate Office Building,http://www.murkowski.senate.gov/public/?a=rss.feed,4209,,Republican,M001153,1957-05-22,1004138,Lisa,female,Female,300075,Murkowski,https://www.govtrack.us/congress/members/lisa_murkowski/300075,A.,Sen. Lisa Murkowski [R-AK],,,N00026050,15841,"Murkowski, Lisa (Sen.) [R-AK]",LisaMurkowski,senatormurkowski,202-224-6665,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,AK,Sen.,Senator,http://www.murkowski.senate.gov,
,112,113,114,true,Senior Senator from Washington,,2017-01-03,154 Russell Senate Office Building Washington DC 20510,http://www.murray.senate.gov/public/index.cfm/contactme,202-224-0238,154 Russell Senate Office Building,http://www.murray.senate.gov/public/?a=rss.feed,4213,,Democrat,M001111,1950-10-11,25277,Patty,female,Female,300076,Murray,https://www.govtrack.us/congress/members/patty_murray/300076,,Sen. Patty Murray [D-WA],,,N00007876,53358,"Murray, Patty (Sen.) [D-WA]",PattyMurray,SenatorPattyMurray,202-224-2621,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,WA,Sen.,Senator,http://www.murray.senate.gov,
,112,113,114,true,Senior Senator from Nevada,,2017-01-03,522 Hart Senate Office Building Washington DC 20510,http://www.reid.senate.gov/contact,202-224-7327,522 Hart Senate Office Building,,4242,Minority Leader,Democrat,R000146,1939-12-02,1683,Harry,male,Male,300082,Reid,https://www.govtrack.us/congress/members/harry_reid/300082,M.,Sen. Harry Reid [D-NV],,,N00009922,53320,"Reid, Harry (Sen.) [D-NV]",SenatorReid,SenatorReid,202-224-3542,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,NV,Sen.,Senator,http://www.reid.senate.gov,
,112,113,114,true,Senior Senator from New York,,2017-01-03,322 Hart Senate Office Building Washington DC 20510,http://www.schumer.senate.gov/Contact/email-chuck,202-228-3027,322 Hart Senate Office Building,,4282,,Democrat,S000148,1950-11-23,5929,Charles,male,Male,300087,Schumer,https://www.govtrack.us/congress/members/charles_schumer/300087,E.,Sen. Charles âChuckâ Schumer [D-NY],,Chuck,N00001093,26976,"Schumer, Charles âChuckâ (Sen.) [D-NY]",SenSchumer,SenatorSchumer,202-224-6542,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,NY,Sen.,Senator,http://www.schumer.senate.gov,
,112,113,114,true,Senior Senator from Alabama,,2017-01-03,304 Russell Senate Office Building Washington DC 20510,http://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,202-224-3416,304 Russell Senate Office Building,http://www.shelby.senate.gov/public/index.cfm/rss/feed,4294,,Republican,S000320,1934-05-06,1859,Richard,male,Male,300089,Shelby,https://www.govtrack.us/congress/members/richard_shelby/300089,C.,Sen. Richard Shelby [R-AL],,,N00009920,53266,"Shelby, Richard (Sen.) [R-AL]",SenShelby,SenatorRichardShelby,202-224-5744,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,AL,Sen.,Senator,http://www.shelby.senate.gov,
,112,113,114,true,Senior Senator from Oregon,,2017-01-03,221 Dirksen Senate Office Building Washington DC 20510,http://www.wyden.senate.gov/contact,202-228-2717,221 Dirksen Senate Office Building,http://www.wyden.senate.gov/rss/feeds/?type=all&amp;,4357,,Democrat,W000779,1949-05-03,1962,Ron,male,Male,300100,Wyden,https://www.govtrack.us/congress/members/ron_wyden/300100,,Sen. Ron Wyden [D-OR],,,N00007724,27036,"Wyden, Ron (Sen.) [D-OR]",RonWyden,senronwyden,202-224-5244,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,OR,Sen.,Senator,http://www.wyden.senate.gov,
,112,113,114,true,Senior Senator from South Dakota,,2017-01-03,511 Dirksen Senate Office Building Washington DC 20510,http://www.thune.senate.gov/public/index.cfm/contact,202-228-5429,511 Dirksen Senate Office Building,http://www.thune.senate.gov/public/index.cfm/rss/feed,4630,,Republican,T000250,1961-01-07,45552,John,male,Male,400546,Thune,https://www.govtrack.us/congress/members/john_thune/400546,,Sen. John Thune [R-SD],,,N00004572,398,"Thune, John (Sen.) [R-SD]",SenJohnThune,johnthune,202-224-2321,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,SD,Sen.,Senator,http://www.thune.senate.gov,
,114,115,116,true,Senior Senator from Tennessee,,2021-01-03,455 Dirksen Senate Office Building Washington DC 20510,http://www.alexander.senate.gov/public/index.cfm?p=Email,202-228-3398,455 Dirksen Senate Office Building,http://www.alexander.senate.gov/public/?a=rss.feed,43255,,Republican,A000360,1940-07-03,5,Lamar,male,Male,300002,Alexander,https://www.govtrack.us/congress/members/lamar_alexander/300002,,Sen. Lamar Alexander [R-TN],,,N00009888,15691,"Alexander, Lamar (Sen.) [R-TN]",SenAlexander,lamaralexander,202-224-4944,senator,Senator,class2,Class 2,senior,Senior,2015-01-06,TN,Sen.,Senator,http://www.alexander.senate.gov,
,112,113,114,true,Senior Senator from Indiana,,2017-01-03,493 Russell Senate Office Building Washington DC 20510,http://www.coats.senate.gov/contact/,202-228-1820,493 Russell Senate Office Building,http://www.coats.senate.gov/rss/feeds/?type=all&amp;,11587,,Republican,C000542,1943-05-16,6080,Daniel,male,Male,402675,Coats,https://www.govtrack.us/congress/members/daniel_coats/402675,Ray,Sen. Daniel Coats [R-IN],,,N00003845,53291,"Coats, Daniel (Sen.) [R-IN]",SenDanCoats,SenatorCoats,202-224-5623,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,IN,Sen.,Senator,http://www.coats.senate.gov,
,114,,,true,Representative for Illinois's 18th congressional district,18,2017-01-03,2464 Rayburn HOB; Washington DC 20515-1318,https://lahood.house.gov/contact/email,,2464 Rayburn House Office Building,,43744,,Republican,L000585,1968-07-05,,Darin,male,Male,412674,LaHood,https://www.govtrack.us/congress/members/darin_lahood/412674,,Rep. Darin LaHood [R-IL18],,,,128760,"LaHood, Darin (Rep.) [R-IL18]",,,202-225-6201,representative,Representative,,,,,2015-09-17,IL,Rep.,Representative,https://lahood.house.gov/,
,112,113,114,true,Senior Senator from Colorado,,2017-01-03,261 Russell Senate Office Building Washington DC 20510,http://www.bennet.senate.gov/contact/email,202-228-5036,261 Russell Senate Office Building,http://www.bennet.senate.gov/rss/feeds/?type=news,41915,,Democrat,B001267,1964-11-28,1031622,Michael,male,Male,412330,Bennet,https://www.govtrack.us/congress/members/michael_bennet/412330,F.,Sen. Michael Bennet [D-CO],,,N00030608,110942,"Bennet, Michael (Sen.) [D-CO]",SenBennetCo,SenatorBennet,202-224-5852,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,CO,Sen.,Senator,http://www.bennet.senate.gov,
,112,113,114,true,Senior Senator from Connecticut,,2017-01-03,706 Hart Senate Office Building Washington DC 20510,https://www.blumenthal.senate.gov/contact/,202-224-9673,706 Hart Senate Office Building,http://www.blumenthal.senate.gov/rss/feeds/?type=all,42044,,Democrat,B001277,1946-02-13,21799,Richard,male,Male,412490,Blumenthal,https://www.govtrack.us/congress/members/richard_blumenthal/412490,,Sen. Richard Blumenthal [D-CT],,,N00031685,1568,"Blumenthal, Richard (Sen.) [D-CT]",SenBlumenthal,SenatorBlumenthal,202-224-2823,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,CT,Sen.,Senator,http://www.blumenthal.senate.gov,
,112,113,114,true,Junior Senator from Florida,,2017-01-03,284 Russell Senate Office Building Washington DC 20510,http://www.rubio.senate.gov/public/index.cfm/contact,202-228-0285,284 Russell Senate Office Building,http://www.rubio.senate.gov/public/?a=rss.feed,42045,,Republican,R000595,1971-05-28,87599,Marco,male,Male,412491,Rubio,https://www.govtrack.us/congress/members/marco_rubio/412491,,Sen. Marco Rubio [R-FL],,,N00030612,1601,"Rubio, Marco (Sen.) [R-FL]",SenRubioPress,SenatorMarcoRubio,202-224-3041,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,FL,Sen.,Senator,http://www.rubio.senate.gov,
,112,113,114,true,Junior Senator from Kentucky,,2017-01-03,167 Russell Senate Office Building Washington DC 20510,http://www.paul.senate.gov/?p=contact,202-228-1373,167 Russell Senate Office Building,http://paul.senate.gov/rss/?p=news,42046,,Republican,P000603,1963-01-07,9265241,Rand,male,Male,412492,Paul,https://www.govtrack.us/congress/members/rand_paul/412492,,Sen. Rand Paul [R-KY],,,N00030836,117285,"Paul, Rand (Sen.) [R-KY]",,SenatorRandPaul,202-224-4343,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,KY,Sen.,Senator,http://www.paul.senate.gov,
,112,113,114,true,Junior Senator from New Hampshire,,2017-01-03,144 Russell Senate Office Building Washington DC 20510,http://www.ayotte.senate.gov/?p=contact,202-224-4952,144 Russell Senate Office Building,http://ayotte.senate.gov/rss/?p=news,42047,,Republican,A000368,1968-06-27,95241,Kelly,female,Female,412493,Ayotte,https://www.govtrack.us/congress/members/kelly_ayotte/412493,,Sen. Kelly Ayotte [R-NH],,,N00030980,42352,"Ayotte, Kelly (Sen.) [R-NH]",,SenatorAyotte,202-224-3324,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,NH,Sen.,Senator,http://www.ayotte.senate.gov,
,112,113,114,true,Senior Senator from North Dakota,,2017-01-03,338 Russell Senate Office Building Washington DC 20510,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,202-224-7999,338 Russell Senate Office Building,http://www.hoeven.senate.gov/public/index.cfm/rss/feed,42048,,Republican,H001061,1957-03-13,85233,John,male,Male,412494,Hoeven,https://www.govtrack.us/congress/members/john_hoeven/412494,,Sen. John Hoeven [R-ND],,,N00031688,41788,"Hoeven, John (Sen.) [R-ND]",SenJohnHoeven,senatorjohnhoevennd,202-224-2551,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,ND,Sen.,Senator,http://www.hoeven.senate.gov,
,112,113,114,true,Junior Senator from Utah,,2017-01-03,361A Russell Senate Office Building Washington DC 20510,http://www.lee.senate.gov/public/index.cfm/contact,,361a Russell Senate Office Building,http://www.lee.senate.gov/public/index.cfm/rss/feed,42049,,Republican,L000577,1971-06-04,9267977,Mike,male,Male,412495,Lee,https://www.govtrack.us/congress/members/mike_lee/412495,,Sen. Mike Lee [R-UT],,,N00031696,66395,"Lee, Mike (Sen.) [R-UT]",SenMikeLee,senatormikelee,202-224-5444,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,UT,Sen.,Senator,http://www.lee.senate.gov,
