Name,Birthday
Bradley Byrne,02/16/55
Martha Roby,07/26/76
Mike D. Rogers,07/16/58
Robert Aderholt,07/22/65
Mo Brooks,04/29/54
Gary Palmer,05/14/54
Terri Sewell,01/01/65
Don Young,06/09/33
Ann Kirkpatrick,03/24/50
Martha McSally,03/22/66
Raúl Grijalva,02/19/48
Paul Gosar,11/27/58
Matt Salmon,01/12/58
David Schweikert,03/03/62
Ruben Gallego,11/20/79
Trent Franks,06/19/57
Kyrsten Sinema,07/12/76
Rick Crawford,01/22/66
French Hill,12/05/56
Steve Womack,02/18/57
Bruce Westerman,11/18/67
Doug LaMalfa,07/02/60
Jared Huffman,02/18/64
John Garamendi,01/24/45
Tom McClintock,07/10/56
Mike Thompson,01/24/51
Doris Matsui,09/25/44
Ami Bera,03/02/65
Paul Cook,03/03/43
Jerry McNerney,06/18/51
Jeff Denham,07/29/67
Mark DeSaulnier,03/31/52
Nancy Pelosi,03/26/40
Barbara Lee,07/16/46
Jackie Speier,05/14/50
Eric Swalwell,11/16/80
Jim Costa,04/13/52
Mike Honda,06/27/41
Anna Eshoo,12/13/42
Zoe Lofgren,12/21/47
Sam Farr,07/04/41
David Valadao,04/14/77
Devin Nunes,10/01/73
Kevin McCarthy,01/26/65
Lois Capps,01/10/38
Steve Knight,12/17/66
Julia Brownley,08/28/52
Judy Chu,07/07/53
Adam Schiff,06/20/60
Tony Cardenas,03/31/63
Brad Sherman,10/24/54
Pete Aguilar,06/19/79
Grace Napolitano,12/04/36
Ted Lieu,03/29/69
Xavier Becerra,01/26/58
Norma Torres,04/04/65
Raul Ruiz,08/25/72
Karen Bass,10/03/53
Linda Sanchez,01/28/69
Ed Royce,10/12/51
Lucille Roybal-Allard,06/12/41
Mark Takano,12/10/60
Ken Calvert,06/08/53
Maxine Waters,08/15/38
Janice Hahn,03/30/52
Mimi Walters,05/14/62
Loretta Sanchez,01/07/60
Alan Lowenthal,03/08/41
Dana Rohrabacher,06/21/47
Darrell Issa,11/01/53
Duncan D. Hunter,12/07/76
Juan Vargas,03/07/61
Scott Peters,06/17/58
Susan A. Davis,04/13/44
Diana DeGette,07/29/57
Jared Polis,05/12/75
Scott Tipton,11/09/56
Ken Buck,02/16/59
Doug Lamborn,05/24/54
Mike Coffman,03/19/55
Ed Perlmutter,05/01/53
John B. Larson,07/22/48
Joe Courtney,04/06/53
Rosa DeLauro,03/02/43
Jim Himes,07/05/66
Elizabeth Esty,08/25/59
John Carney,05/20/56
Jeff Miller,06/27/59
Gwen Graham,01/31/63
Ted Yoho,04/13/55
Ander Crenshaw,09/01/44
Corrine Brown,11/11/46
Ron DeSantis,09/14/78
John Mica,01/27/43
Bill Posey,12/18/47
Alan Grayson,03/13/58
Daniel Webster,04/27/49
Rich Nugent,05/26/51
Gus Bilirakis,02/08/63
David Jolly,10/31/72
Kathy Castor,08/20/66
Dennis A. Ross,10/18/59
Vern Buchanan,05/08/51
Tom J. Rooney,11/21/70
Patrick Murphy,03/30/83
Curt Clawson,09/28/59
Alcee Hastings,09/05/36
Ted Deutch,05/07/66
Lois Frankel,05/17/48
Debbie Wasserman Schultz,09/27/66
Frederica Wilson,11/05/42
Mario Diaz-Balart,09/25/61
Carlos Curbelo,03/01/80
Ileana Ros-Lehtinen,07/15/52
Buddy Carter,09/06/57
Sanford Bishop,02/04/47
Lynn Westmoreland,04/02/50
Hank Johnson,10/02/54
John R. Lewis,02/21/40
Tom Price,10/08/54
Rob Woodall,02/11/70
Austin Scott,12/10/69
Doug Collins,08/16/66
Jody Hice,04/22/60
Barry Loudermilk,12/22/63
Rick W. Allen,11/07/51
David Scott,06/27/46
Tom Graves,02/03/70
Mark Takai,07/01/67
Tulsi Gabbard,04/12/81
Raúl Labrador,12/08/67
Mike Simpson,09/08/50
Bobby Rush,11/23/46
Robin Kelly,04/30/56
Dan Lipinski,07/15/66
Luis Gutiérrez,12/10/53
Michael Quigley,10/17/58
Peter Roskam,09/13/61
Danny K. Davis,09/06/41
Tammy Duckworth,03/12/68
Jan Schakowsky,05/26/44
Robert Dold,06/23/69
Bill Foster,10/07/55
Mike Bost,12/30/60
Rodney L. Davis,01/05/70
Randy Hultgren,03/01/66
John Shimkus,02/21/58
Adam Kinzinger,02/27/78
Cheri Bustos,10/17/61
Darin LaHood,07/05/68
Pete Visclosky,08/13/49
Jackie Walorski,08/13/63
Marlin Stutzman,08/31/76
Todd Rokita,02/09/70
Susan Brooks,08/25/60
Luke Messer,02/27/69
André Carson,10/16/74
Larry Bucshon,05/31/62
Todd Young,08/24/72
Rod Blum,04/26/55
David Loebsack,12/23/52
David Young,05/11/68
Steve King,05/28/49
Tim Huelskamp,11/11/68
Lynn Jenkins,06/10/63
Kevin Yoder,01/08/76
Mike Pompeo,12/30/63
Ed Whitfield,05/25/43
Brett Guthrie,02/18/64
John Yarmuth,11/04/47
Thomas Massie,01/13/71
Hal Rogers,12/31/37
Andy Barr,07/24/73
Steve Scalise,10/06/65
Cedric Richmond,09/13/73
Charles Boustany,02/21/56
John C. Fleming,07/05/51
Ralph Abraham,09/16/54
Garret Graves,01/31/72
Chellie Pingree,04/02/55
Bruce Poliquin,11/01/53
Andrew P. Harris,01/25/57
Dutch Ruppersberger,01/31/46
John Sarbanes,05/22/62
Donna Edwards,06/28/58
Steny Hoyer,06/14/39
John K. Delaney,04/16/63
Elijah Cummings,01/18/51
Chris Van Hollen,01/10/59
Richard Neal,02/14/49
Jim McGovern,11/20/59
Niki Tsongas,04/26/46
Joe Kennedy,10/04/80
Katherine Clark,07/17/63
Seth Moulton,10/24/78
Mike Capuano,01/09/52
Stephen F. Lynch,03/31/55
William R. Keating,09/06/52
Dan Benishek,04/20/52
Bill Huizenga,01/31/69
Justin Amash,04/18/80
John Moolenaar,05/08/61
Dan Kildee,08/11/58
Fred Upton,04/23/53
Tim Walberg,04/12/51
Mike Bishop,03/18/67
Sander Levin,09/06/31
Candice Miller,05/07/54
David Trott,10/16/60
Deborah Dingell,11/23/53
John Conyers,05/16/29
Brenda Lawrence,10/18/54
Tim Walz,04/06/64
John Kline,09/06/47
Erik Paulsen,05/14/65
Betty McCollum,07/12/54
Keith Ellison,08/04/63
Tom Emmer,03/03/61
Collin Peterson,06/29/44
Rick Nolan,12/17/43
Trent Kelly,03/01/66
Bennie Thompson,01/28/48
Gregg Harper,06/01/56
Steven Palazzo,02/21/70
"William L. Clay, Jr.",07/27/56
Ann Wagner,09/13/62
Blaine Luetkemeyer,05/07/52
Vicky Hartzler,10/13/60
Emanuel Cleaver,10/26/44
Sam Graves,11/07/63
Billy Long,08/11/55
Jason T. Smith,06/16/80
Ryan Zinke,11/01/61
Jeff Fortenberry,12/27/60
Brad Ashford,11/10/49
Adrian M. Smith,12/19/70
Dina Titus,05/23/50
Mark Amodei,06/12/58
Joe Heck,03/03/61
Cresent Hardy,06/23/57
Frank Guinta,09/26/70
Ann McLane Kuster,09/05/56
Donald Norcross,12/13/58
Frank LoBiondo,05/12/46
Tom MacArthur,10/16/60
Chris H. Smith,03/04/53
Scott Garrett,07/09/59
Frank Pallone,10/30/51
Leonard Lance,06/25/52
Albio Sires,01/26/51
Bill Pascrell,01/25/37
Donald Payne,12/17/58
Rodney Frelinghuysen,04/29/46
Bonnie Watson Coleman,02/06/45
Michelle Lujan Grisham,10/24/59
Steve Pearce,08/24/47
Ben R. Luján,06/07/72
Lee Zeldin,01/30/80
Peter T. King,04/05/44
Steve Israel,05/30/58
Kathleen Rice,02/15/65
Gregory Meeks,09/25/53
Grace Meng,10/01/75
Nydia Velázquez,03/28/53
Hakeem Jeffries,08/04/70
Yvette Clarke,11/21/64
Jerrold Nadler,06/13/47
Dan Donovan,11/06/56
Carolyn B. Maloney,02/19/46
Charles B. Rangel,06/11/30
Joseph Crowley,03/16/62
José Serrano,10/24/43
Eliot Engel,02/18/47
Nita Lowey,07/05/37
Sean Patrick Maloney,07/30/66
Chris Gibson,05/13/64
Paul Tonko,06/18/49
Elise Stefanik,07/02/84
Richard L. Hanna,01/25/51
Tom Reed,11/18/71
John Katko,11/09/62
Louise Slaughter,08/14/29
Brian Higgins,10/06/59
Chris Collins,05/20/50
George K. Butterfield,04/27/47
Renee Ellmers,02/09/64
Walter B. Jones,02/10/43
David E. Price,08/17/40
Virginia Foxx,06/29/43
Mark Walker,05/20/69
David Rouzer,02/16/72
Richard Hudson,11/04/71
Robert Pittenger,08/15/48
Patrick McHenry,10/22/75
Mark Meadows,07/28/59
Alma Adams,05/27/46
George Holding,04/17/68
Kevin Cramer,01/21/61
Steve Chabot,01/22/53
Brad Wenstrup,06/17/58
Joyce Beatty,03/12/50
Jim Jordan,02/17/64
Bob Latta,04/18/56
Bill Johnson,11/10/54
Bob Gibbs,06/14/54
John Boehner,11/17/49
Marcy Kaptur,06/17/46
Mike Turner,01/11/60
Marcia Fudge,10/29/52
Pat Tiberi,10/21/62
Tim Ryan,07/16/73
David Joyce,03/17/57
Steve Stivers,03/24/65
Jim Renacci,12/03/58
Jim Bridenstine,06/15/75
Markwayne Mullin,07/26/77
Frank D. Lucas,01/06/60
Tom Cole,04/28/49
Steve Russell,05/25/63
Suzanne Bonamici,10/14/54
Greg Walden,01/10/57
Earl Blumenauer,08/16/48
Peter DeFazio,05/27/47
Kurt Schrader,10/19/51
Bob Brady,04/07/45
Chaka Fattah,11/21/56
Mike Kelly,05/10/48
Scott Perry,05/27/62
Glenn Thompson,07/27/59
Ryan Costello,09/07/76
Pat Meehan,10/20/55
Mike Fitzpatrick,06/28/63
Bill Shuster,01/10/61
Tom Marino,08/13/52
Lou Barletta,01/28/56
Keith Rothfus,04/25/62
Brendan F. Boyle,02/06/77
Michael F. Doyle,08/05/53
Charlie Dent,05/24/60
Joe Pitts,10/10/39
Matt Cartwright,05/01/61
Timothy F. Murphy,09/11/52
David Cicilline,07/15/61
James Langevin,04/22/64
Mark Sanford,05/28/60
Joe Wilson,07/31/47
Jeff Duncan,01/07/66
Trey Gowdy,08/22/64
Mick Mulvaney,07/21/67
Jim Clyburn,07/21/40
Tom Rice,08/04/57
Kristi Noem,11/30/71
Phil Roe,07/21/45
Jimmy Duncan,07/21/47
Chuck Fleischmann,10/11/62
Scott DesJarlais,02/21/64
Jim Cooper,06/19/54
Diane Black,01/16/51
Marsha Blackburn,06/06/52
Stephen Fincher,02/07/73
Steve Cohen,05/24/49
Louie Gohmert,08/18/53
Ted Poe,09/10/48
Sam Johnson,10/11/30
John Ratcliffe,10/20/65
Jeb Hensarling,05/29/57
Joe Barton,09/15/49
John Culberson,08/24/56
Kevin Brady,04/11/55
Al Green,09/01/47
Michael McCaul,01/14/62
Mike Conaway,06/11/48
Kay Granger,01/18/43
Mac Thornberry,07/15/58
Randy Weber,07/02/53
Rubén Hinojosa,08/20/40
Beto O'Rourke,09/26/72
Bill Flores,02/25/54
Sheila Jackson-Lee,01/12/50
Randy Neugebauer,12/24/49
Joaquín Castro,09/16/74
Lamar S. Smith,11/19/47
Pete Olson,12/09/62
Will Hurd,08/19/77
Kenny Marchant,02/23/51
Roger Williams,09/13/49
Michael C. Burgess,12/23/50
Blake Farenthold,12/12/61
Henry Cuellar,09/19/55
Gene Green,10/17/47
Eddie B. Johnson,12/03/35
John Carter,11/06/41
Pete Sessions,03/22/55
Marc Veasey,01/03/71
Filemon Vela,02/13/63
Lloyd Doggett,10/06/46
Brian Babin,03/23/48
Rob Bishop,07/13/51
Chris Stewart,07/15/60
Jason Chaffetz,03/26/67
Mia Love,12/06/75
Peter Welch,05/02/47
Rob Wittman,02/03/59
Scott Rigell,05/28/60
Bobby Scott,04/30/47
Randy Forbes,02/17/52
Robert Hurt,06/16/69
Bob Goodlatte,09/22/52
Dave Brat,07/27/64
Don Beyer,06/20/50
Morgan Griffith,03/15/58
Barbara Comstock,06/30/59
Gerry Connolly,03/30/50
Suzan DelBene,02/17/62
Rick Larsen,06/15/65
J. Herrera Beutler,11/03/78
Dan Newhouse,07/10/55
Cathy McMorris Rodgers,05/22/69
Derek Kilmer,01/01/74
Jim McDermott,12/28/36
Dave Reichert,08/29/50
Adam Smith,06/15/65
Dennis Heck,07/29/52
David McKinley,03/28/47
Alex Mooney,06/07/71
Evan Jenkins,09/12/60
Paul Ryan,01/29/70
Mark Pocan,08/14/64
Ron Kind,03/16/63
Gwen Moore,04/18/51
Jim Sensenbrenner,06/14/43
Glenn Grothman,07/03/55
Sean Duffy,10/03/71
Reid Ribble,04/05/56
Cynthia Lummis,09/10/54