Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1014616937,0.7788574776,2.2477393923,4.3455087972,8.8679789792,16.0163366019,26.4708799874,34.338687247,41.3857963883,54.2620802231
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738932795,0.1067304203,0.1818750473,0.3582487857,0.9698045742,12.7592385466,27.5424318511,35.4073340177,40.3086729298,48.7059647336,60.504364338,73.2707084187,58.4533146916,77.1673897172,84.0241376857,96.3933945027
Algeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018577676,0.0184377044,0.0180021296,0.0175966767,0.0048574676,0.0165808985,0.0406435507,0.059501588,0.0606597884,0.2392105255,0.2816548348,0.3227658295,1.431989621,4.533907979,15.0710173043,41.5384592931,62.8832742163,81.2901232665,78.5158882757,93.6471149438,92.4212607527,98.9875902
American Samoa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1.4099258782,1.7716186689,2.3128071697,2.3621005688,2.4118290941,2.5531604479,2.6908242892,3.1764519032,3.4568329718,3.6771101598,3.4111280513,3.4554250173,3.6365987296,,,,,,,
Andorra,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3329409524,1.285643646,1.2422557082,4.3663735143,8.4136937158,13.2778676527,21.9733524266,32.1950457138,36.4251013399,44.3274589547,47.4921425778,71.8709748902,77.5195239866,82.8882497946,86.3910659288,78.0230986608,77.7480412221,77.1406718692,77.176423454,75.4877270353
Angola,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096730934,0.0155327107,0.0164723891,0.0264841631,0.0551271838,0.0747435068,0.1776254804,0.1853030936,0.5212588833,0.9401984114,2.2697878974,4.6373294998,9.7708529815,17.9574031505,28.3105968623,37.550557258,43.7045041219,46.6892416232,48.3779743458
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1.8452803407,1.935787174,2.0218358269,11.186418372,28.3300710827,31.5796122024,47.4555007639,56.4149003867,65.1874743475,102.4834358168,129.6932385347,130.7744225287,157.2173432626,153.669620282,189.3473114643,181.6419675936
Argentina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071457037,0.0367619555,0.0755433554,0.1389086704,0.3295859121,0.700640714,1.163084605,1.8902651515,5.625303077,7.3914168016,10.5330066102,17.5678999285,18.0734814079,17.4381408777,20.6367758788,35.2428503146,57.2796110066,80.7464922093,102.6257449375,117.1083875132,131.0023570688,132.880086041,134.9211144455
Armenia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094572038,0.1594979769,0.2518734515,0.2640567083,0.5684474292,0.8318845591,2.3308539147,3.737199213,6.638418448,10.3734106904,41.0366780853,61.0377528194,46.8320641801,71.0377607109,125.0085379642,103.5663736567
Aruba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292885804,,,2.1388643352,3.611455537,3.9947863459,6.1962292835,13.5682141969,16.616632141,57.3822851142,65.3304579475,72.208516129,99.3366718494,102.3971246386,106.1522134922,108.981530343,114.47984383,120.0615315349,122.6183387913,
Australia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0270845074,0.190538787,0.5608801396,1.0817813809,1.6827271844,2.835225642,3.8922768934,6.807345103,12.3741501465,21.7799075386,24.7123465053,26.2505045402,33.3282421783,44.6767020704,57.4341761622,64.6294992805,72.3130706871,81.9744623684,90.2785401735,95.2551050783,100.6629359827,102.8176450511,101.3592179817,101.0401113974,108.3353549445
Austria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.1291334579,0.252334397,0.3457060951,0.4852536359,0.6644976591,0.9607962336,1.4949264707,2.2171168212,2.8172138336,3.5240806924,4.833079289,7.5210188753,14.5479808012,28.7470707864,53.2317581613,76.4174900983,81.371104985,83.3347869909,89.4245125694,97.6354315952,105.2574549974,112.1813932395,119.2810931405,129.66017191,136.6128216522,145.8365401249,154.7832399846
Azerbaijan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065191301,0.0772718105,0.2166899715,0.5054530806,0.8149808016,4.6023838856,5.1832617142,8.9117159033,9.5914955245,12.619478262,17.1766512557,26.1064925985,38.1936028962,51.2299495795,73.2143655799,85.5570619385,99.0457980995,108.7479044485
Bahamas,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750406047,0.7744062566,0.9783226282,0.8869564575,,1.4654685568,1.744237284,2.1586465982,2.7779785319,5.412125665,10.5909269581,20.0775183518,39.8164165585,39.4028388045,59.0988088543,71.3215263122,78.0665049712,113.7255557819,107.309514747,106.0450765166,124.9360557868,86.0629767035
Bahrain,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.1434390558,0.3837343267,0.6244266353,0.8893398467,1.0442471053,1.4513948508,1.8632046427,2.1338863405,3.2303435174,4.9367788234,6.9714774732,9.8725770929,15.0617518246,21.2947436439,32.2358596851,46.6276011268,60.5837369757,68.4693524362,96.7256162915,105.8354844807,111.8340912732,120.5508499751,136.9097427779,119.8700727955,124.1842237694,127.9641263737
Bangladesh,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002268077,0.0004438705,0.0009595076,0.0021278959,0.0033353156,0.0212469677,0.0600945402,0.1171246993,0.2152906105,0.3941048463,0.8006469048,0.9998918212,2.0064140243,6.401687906,13.4390674382,23.8752172917,30.6849887578,35.6593540733,46.169221961,56.4807853896
Barbados,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186671071,0.3048220085,0.5956813105,1.1296961205,1.7516020287,2.3777896358,3.0227697972,4.5122790393,7.6132674559,10.6414315673,19.8033498389,36.1563614855,51.9694568078,74.1397385413,76.2246629427,87.4777726129,94.8376028098,106.0555514733,123.5787351054,128.0721908602,127.0117732956
Belarus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031452231,0.0167490404,0.0573960231,0.0639181348,0.0800342441,0.119666344,0.2320747784,0.490693302,1.3819343224,4.6433023803,11.2725169282,22.6829624062,41.7247576666,60.9604981086,71.5443758103,83.9609573285,100.5207961465,107.685738854,111.8778807255
Belgium,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0385486387,0.0731698595,0.1935597182,0.3103256368,0.4309972672,0.5154202575,0.614325458,0.6755425892,1.2733843472,2.3339381359,4.7352238896,9.6356791075,17.33978842,31.4001330854,55.3181486375,75.3775438575,79.0107006761,83.5265824642,88.1694619278,92.2268316297,94.0084160438,101.8917124769,106.9753381549,110.4521947318,113.4612221396,116.6127738223
Belize,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1923428319,0.3885072822,0.702189178,0.9646515285,1.0944477427,1.4824475692,2.6960252954,6.7110557578,15.2602286988,19.6937567338,22.4746986159,27.2871150243,34.1701459706,41.1099691675,40.363122774,53.4800175112,52.9744792042,62.3184127178,63.8666616341
Benin,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185803186,0.0464961693,0.0717256729,0.1021331962,0.11484363,0.8511447864,1.8597490351,3.153221,3.2962427229,6.2087446784,7.8109245552,13.4116653478,25.2913101676,43.3864848887,58.5152638916,79.9435066552,85.3326654888
Bermuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1.2538710112,1.8596872648,2.3940149626,3.2008994263,5.5921972401,8.3906127258,10.2988355997,12.9333398162,16.5768672367,20.1878763549,20.4619934458,20.6894356559,21.125934846,47.327569887,62.8387400833,76.6763164072,82.2080149696,93.4274343987,106.9734271806,122.1832129545,131.1687910867,135.8155864554,
Bhutan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3611287716,2.9791407223,5.4603946955,12.1654530067,21.7024576629,36.1337852154,47.4925910616,54.3179877125,65.5845378434
Bolivia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043294275,0.0222392119,0.0372502663,0.0555294672,0.0967617798,0.4373088901,1.5175287882,3.0016922091,5.1646913145,7.0133936052,9.2007051321,11.8350104936,14.5060901817,20.0468177542,26.4730877026,30.9041374671,34.3890847115,52.3846526047,66.1424159618,72.30012259,82.8031678487
Bosnia and Herzegovina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453765528,0.2674101858,0.7235326992,1.4607220782,2.5282521744,11.8641169362,19.8305932679,28.4131749745,37.2205170735,42.1678544914,49.9213557902,64.8426290952,84.2315278297,86.4520449305,82.715684937,84.5173321024
Botswana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8958549458,5.3235226212,12.6393333049,18.6199773712,18.3763867435,24.3140503364,28.227397809,30.0575846643,43.2988497584,59.7528974755,76.0064599232,94.5762867536,117.7616227649,142.8181774311
Brazil,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445706,0.0044036392,0.0207009734,0.1159340349,0.3601092803,0.7942833481,1.5200898338,2.7266870534,4.3493480211,8.7431801984,13.2940344286,16.2518287058,19.4551365878,25.5312895271,35.6794447736,46.3528917005,53.1600191704,63.7414821974,78.646161232,90.019363341,104.1024405315,123.1758591215
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7028259792,1.1663460018,1.5378906572,3.0265589293,5.540070922,12.3892491385,14.6452750448,14.7673647802,15.7355804956,20.6473249201,29.0487897357,42.7710050606,44.9806051202,50.8542854767,56.8782080277,64.1380468877,81.3897282598,96.9868587307,103.6813579589,105.3708557385,109.0704903239,109.1696268888
Bulgaria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116952293,0.0769233409,0.2503403288,0.3213823842,0.8538659635,1.5620610547,4.3386416407,9.217904518,19.502347894,32.9109074171,44.6532749447,60.7218089709,80.6929732922,107.3333055899,129.5433297432,137.3807091835,138.6089601645,136.1020835479,140.6781236172
Burkina Faso,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004776127,0.0132989925,0.0234916328,0.0421362616,0.2053438698,0.6023335305,0.8529334594,1.7774046536,2.8712587391,4.4621308659,6.9524754206,12.3366465205,19.4914580215,23.9208609802,34.6587474893,45.2744588367
Burundi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059494786,0.0062820678,0.0092660271,0.0091364239,0.010013762,0.0099622159,0.0127314295,0.2560262251,0.5141197538,0.7812416664,0.9358416228,1.4285036481,2.1099304082,2.6758133101,3.5029537035,6.0501159141,10.2610339459,13.7244509593,14.4603513492
Cambodia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456389688,0.0942638092,0.1262396442,0.2015733156,0.2860409607,0.5117999741,0.7290083598,1.048827307,1.7659521132,2.9582984241,3.8266389469,6.5295023989,7.9505455107,12.7379755553,18.8979153184,30.6526016296,44.8422055869,57.6504243275,69.9047331306
Cameroon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117736235,0.0200855976,0.0244969807,0.0287043904,0.0333863063,0.0391541375,0.6587398137,2.6016324333,4.2753740001,6.4170679469,8.9184048229,12.8321792199,17.4720135143,24.7193164128,32.842720352,41.7424162301,44.0670489026,52.353592012
Canada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.0464349778,0.2291553951,0.3704225342,0.7520692082,1.2629865946,2.1073935121,2.7657158339,3.6165896608,4.6438053883,6.4317175423,8.8382085484,11.8239224897,14.0534874056,17.752556853,22.7457815299,28.4569606812,34.3879576466,37.9518688338,42.0487335045,47.0203660482,52.7100402922,57.4632605183,61.4889002246,66.2881975893,70.7099724405,70.6636669933,75.2799082352
Cape Verde,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484387,0.2421635174,1.8794347719,4.5121878702,7.0786976293,9.48646022,11.5953055338,14.0921711113,17.2814417097,22.7609264281,31.5123710465,56.9730246568,59.1148465993,74.974143093,79.1931440215
Cayman Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2.0429046523,3.4413096482,4.1896654918,5.767089735,7.7274945109,,11.6201464891,14.0856582389,21.9674015254,26.6202263963,39.9990588457,42.1127291265,44.0029279515,67.2329083206,154.8653095584,172.3246201966,185.6233654602,177.7972691925,194.9303301472,177.6471634359,167.6743817095
Central African Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013222306,0.0314403466,0.0393223129,0.0458758896,0.1145834566,0.1341849634,0.2920042856,0.329047189,1.0282578099,1.5181106809,2.48887473,2.6911091137,4.8066061996,5.8990632524,15.7395056376,22.2499580214,25.041248434
Chad,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668910395,0.2582782888,0.3872633829,0.7100803997,1.2981815326,2.1459442369,4.6220148636,8.8543217842,15.0181691688,20.8585666625,25.6101427888,31.8048004181
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377120007,0.1055595159,0.2690829726,0.4710940402,0.6115558542,0.8161685911,1.3693407144,2.18357627,2.7610441429,6.4115806453,14.8421267767,22.0594338974,32.688526166,39.5610337081,45.5411984353,57.4092797831,64.8371344237,75.6029218376,83.8994101816,88.0980683445,97.0186256133,116.002126485,129.7080782477
China,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,6.4108143214E-05,0.0002906319,0.0008690083,0.0015996399,0.0040957977,0.0150560276,0.0536726419,0.1305010858,0.2989324569,0.5589109865,1.0690311012,1.9105376292,3.437617453,6.7180581198,11.3326229725,16.0198761213,20.8716327791,25.7447580337,30.0862617709,35.072609372,41.4160788358,48.2765050182,55.9749092077,64.0408922945,73.1877692632
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2424858508,0.7532643719,1.4088387883,3.34814346,4.6833277752,5.0291600419,5.6754641855,8.0778110323,11.1898796966,14.8236814635,24.5379339151,50.7660541947,68.1122921861,76.5261268028,91.909863937,92.3458456386,96.0747505321,98.4514201541
Comoros,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3282611514,1.3386038129,2.4142500319,5.5826958682,9.1517561104,13.1616248275,17.1277526147,22.4944538959,28.7074752335
"Congo, Dem. Rep.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0192886487,0.0158957806,0.0191937193,0.0211088077,0.0247780926,0.0302259693,0.2941786516,1.0668428685,2.3036329552,3.5704889356,4.7824260462,7.4726492494,10.8470694031,15.9065830292,14.7319671902,17.91890479,23.1311739497
"Congo, Rep.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355856943,,0.1140136191,0.163642713,2.232304443,4.6680546349,6.7438489743,9.8063367359,11.1340442543,15.7985858054,25.2854781827,34.5152752417,47.1021982155,50.7426954621,98.9389049788,93.8404221706
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932756852,0.1372217574,0.2063821577,0.5405143621,1.3081180008,1.7648672807,2.9078393767,3.6063644981,5.3994458024,8.167584574,12.305994543,18.7071409308,21.7934391899,25.5558007552,32.9478846689,33.8727101061,41.7186702532,42.4832762989,65.1444647616,92.2047571444
Cote d'Ivoire,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897884626,0.2323760966,0.5744351422,1.5830558222,2.8522608693,4.3127382071,5.9779930316,7.3369191752,9.4425169638,13.0372678549,22.1839226161,40.0483000956,55.0325598974,68.1358671043,79.0313206132,86.4212306183
Croatia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053130258,0.044392398,0.1377454599,0.2458863401,0.4650311155,0.7215247973,1.3946124149,2.603456141,3.982331975,6.4977372456,22.9273650864,39.1599466264,51.7822048436,56.9337028538,63.7259462927,82.16369885,99.1296161682,113.7502866587,103.0868731055,105.9886906511,111.9232944158,116.3706103432
Cuba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021813935,0.0046336257,0.0106196237,0.0177876935,0.0221659908,0.0272372727,0.0367676753,0.0464024462,0.0588600123,0.0770096106,0.1597342886,0.3154524315,0.6746524468,1.2042925681,1.3556441989,1.7593176561,2.9443400827,5.5151959205,8.9093699677,11.686335074
Cyprus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228096306,0.1794701105,0.4116541427,0.65514199,1.2163000948,1.8669903695,2.7398307464,5.1966042571,8.105217474,10.3246897586,12.8217439616,16.3855585713,23.1448519762,32.694839841,42.6517082809,55.2783494,64.7991840962,75.7826648666,82.7824266984,92.9714861429,94.4046477208,89.6419260266,93.6958103452,97.7054606812
Czech Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120499111,0.0450955248,0.1360765967,0.2947814985,0.4738676525,1.9429164804,5.1120805938,9.3929713144,18.9521394769,42.4295194032,67.9381393999,84.3349527401,95.1894473037,105.6941881546,115.2166625997,120.9323101853,128.2648851872,132.7906743903,136.5782177421,121.7489440539,121.6028451079
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,,,,,0,,,,,0,0,0,0,0,0,0,0.1405509911,0.3145146765,0.5981848024,0.9014997162,1.1263602397,1.5132735857,1.9811998911,2.4130396772,2.8830776066,3.413030127,4.0808462425,6.8881432069,9.6602674829,15.7119588853,25.0530663553,27.3613699633,36.4382811013,49.4049605976,62.9937516633,73.9380943624,83.3767091263,88.5339680456,95.6785944433,100.5491707267,107.0831933891,115.3382713521,119.2762571962,123.6893909255,125.7805656144,126.4581629309
Djibouti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170692422,0.0304916974,0.0319331146,0.0393494413,0.03142377,0.4002113116,1.9600592199,2.9500795239,4.3442546533,5.4496286959,5.4410561357,8.2838467431,13.1887858856,14.7663658567,18.6350870244,21.318095684
